Cycle No,Residual Capacity or SOH (Actual),Residual Capacity or SOH(Predicted),Error,%error,max. error(percentage),average error(percentage),prediction formula
431,97.83,97.86611469,0.036114695,0.036915767,,,
432,97.82,97.85620796,0.036207963,0.037014888,,,
433,97.79,97.84628157,0.056281566,0.057553498,,,
434,97.79,97.83633563,0.046335634,0.047382794,,,
435,97.78,97.8263703,0.046370301,0.047423094,,,
436,97.77,97.8163857,0.046385698,0.047443692,,,
437,97.76,97.80638196,0.046381957,0.047444719,,,
438,97.76,97.79635921,0.03635921,0.037192318,,,
439,97.75,97.78631759,0.036317588,0.037153543,,,
440,97.74,97.77625722,0.036257224,0.037095584,,,
441,97.74,97.76617825,0.026178247,0.026783556,,,
442,97.71,97.75608079,0.04608079,0.047160772,,,
443,97.7,97.74596498,0.045964983,0.047047066,,,
444,97.7,97.73583096,0.035830957,0.03667447,,,
445,97.68,97.72567884,0.045678843,0.046763762,,,
446,97.68,97.71550877,0.035508771,0.03635214,,,
447,97.65,97.70532087,0.055320871,0.056652197,,,
448,97.65,97.69511527,0.045115273,0.046200997,,,
449,97.64,97.68489211,0.044892108,0.045977169,,,
450,97.61,97.67465151,0.064651505,0.06623451,,,
451,97.61,97.66439359,0.054393594,0.055725432,,,
452,97.59,97.6541185,0.064118504,0.06570192,,,
453,97.57,97.64382636,0.073826364,0.075665024,,,
454,97.55,97.6335173,0.083517303,0.085614867,,,
455,97.55,97.62319145,0.07319145,0.075029677,,,
456,97.54,97.61284893,0.072848934,0.074686214,,,
457,97.52,97.60248988,0.082489882,0.084587656,,,
458,97.51,97.59211442,0.082114424,0.084211285,,,
459,97.5,97.58172269,0.081722688,0.083818141,,,
460,97.49,97.5713148,0.0813148,0.08340835,,,
461,97.49,97.56089089,0.070890889,0.072716062,,,
462,97.46,97.55045108,0.090451082,0.092808416,,,
463,97.45,97.53999551,0.089995507,0.092350443,,,
464,97.43,97.52952429,0.09952429,0.102149533,,,
465,97.42,97.51903756,0.099037558,0.101660396,,,
466,97.42,97.50853544,0.088535437,0.090880145,,,
467,97.42,97.49801806,0.078018055,0.080084228,,,
468,97.41,97.48748554,0.077485537,0.079545772,,,
469,97.41,97.47693801,0.066938009,0.0687178,,,
470,97.39,97.4663756,0.076375596,0.078422421,,,
471,97.38,97.45579842,0.075798425,0.077837775,,,
472,97.36,97.44520662,0.08520662,0.087517071,,,
473,97.35,97.43460031,0.084600307,0.086903243,,,
474,97.33,97.42397961,0.09397961,0.0965577,,,
475,97.33,97.41334465,0.083344653,0.085631001,,,
476,97.33,97.40269556,0.072695562,0.074689779,,,
477,97.32,97.39203246,0.07203246,0.074016091,,,
478,97.3,97.38135547,0.081355471,0.083613023,,,
479,97.29,97.37066472,0.080664719,0.082911624,,,
480,97.29,97.35996033,0.069960327,0.071909062,,,
481,97.27,97.34924242,0.079242418,0.081466452,,,
482,97.26,97.33851111,0.078511114,0.080722923,,,
483,97.22,97.32776654,0.10776654,0.110848118,,,
484,97.2,97.31700882,0.117008817,0.120379441,,,
485,97.2,97.30623807,0.106238066,0.109298422,,,
486,97.2,97.29545441,0.095454411,0.098204127,,,
487,97.18,97.28465797,0.104657973,0.107694971,,,
488,97.16,97.27384887,0.113848872,0.11717669,,,
489,97.16,97.26302723,0.103027231,0.106038731,,,
490,97.15,97.25219317,0.102193169,0.105191116,,,
491,97.14,97.24134681,0.101346809,0.104330666,,,
492,97.14,97.23048827,0.090488269,0.093152428,,,
493,97.14,97.21961767,0.07961767,0.081961777,,,
494,97.12,97.20873513,0.088735132,0.091366487,,,
495,97.12,97.19784077,0.077840775,0.080149068,,,
496,97.1,97.18693472,0.086934717,0.089531119,,,
497,97.1,97.17601708,0.076017077,0.078287412,,,
498,97.08,97.16508798,0.085087975,0.087647276,,,
499,97.07,97.15414753,0.084147529,0.086687472,,,
500,97.06,97.14319586,0.083195857,0.085715905,,,
501,97.05,97.13223308,0.082233077,0.084732691,,,
502,97.03,97.12125931,0.091259306,0.09405267,,,
503,97.01,97.11027466,0.100274661,0.103365283,,,
504,97,97.09927926,0.099279261,0.102349754,,,
505,97,97.08827322,0.088273221,0.091003321,,,
506,96.98,97.07725666,0.097256659,0.100285274,,,
507,96.97,97.06622969,0.09622969,0.099236557,,,
508,96.97,97.05519243,0.08519243,0.087854418,,,
509,96.95,97.04414499,0.094144994,0.09710675,,,
510,96.92,97.0330875,0.113087499,0.116681283,,,
511,96.91,97.02202006,0.11202006,0.115591848,,,
512,96.9,97.01094279,0.11094279,0.114492043,,,
513,96.89,96.9998558,0.109855804,0.113381984,,,
514,96.88,96.98875922,0.108759217,0.112261785,,,
515,96.87,96.97765314,0.107653143,0.111131561,,,
516,96.87,96.96653769,0.096537694,0.099656957,,,
517,96.87,96.95541298,0.085412985,0.088172793,,,
518,96.86,96.94427913,0.084279128,0.087011282,,,
519,96.86,96.93313624,0.073136235,0.07550716,,,
